kindName;otherKindName;count;count_unique;min_time;max_time;avg_time
taskOperation;taskSupported;;6;1556951910000;1556951910000;1556951910000.0
taskSupported;taskSupported;;6;1556952510000;1556952510000;1556952510000.0
taskSupported;taskCostSpent;;6;1556952510000;1556952510000;1556952510000.0
taskCostSpent;taskDelivered;;6;1556952510000;1556952510000;1556952510000.0
taskDelivered;taskOperation;;5;1556951983000;1556951983000;1556951983000.0
taskOperation;taskCostSpent;;5;1556951983000;1556951983000;1556951983000.0
taskCostSpent;taskAssigned;;5;1556952732000;1556952732000;1556952732000.0
taskAssigned;taskCostSpent;;5;1556951983000;1556951983000;1556951983000.0
taskCostSpent;taskComplete;;5;1556952732000;1556952732000;1556952732000.0
taskComplete;taskOperation;;8;1556952016000;1556952016000;1556952016000.0
taskOperation;taskCostSpent;;20;1556951782000;1556951782000;1556951782000.0
taskCostSpent;taskAssigned;;20;1556952841000;1556952841000;1556952841000.0
taskAssigned;taskCostSpent;;20;1556952016000;1556952016000;1556952016000.0
taskCostSpent;taskComplete;;20;1556952841000;1556952841000;1556952841000.0
taskComplete;taskOperation;;12;1556952075000;1556952075000;1556952075000.0
taskOperation;taskCostSpent;;21;1556951874000;1556951874000;1556951874000.0
taskCostSpent;taskAssigned;;21;1556952740000;1556952740000;1556952740000.0
taskAssigned;taskCostSpent;;21;1556952075000;1556952075000;1556952075000.0
taskCostSpent;taskDelivered;;21;1556952740000;1556952740000;1556952740000.0
taskDelivered;taskOperation;;8;1556952076000;1556952076000;1556952076000.0
taskOperation;taskSupported;;8;1556952076000;1556952076000;1556952076000.0
taskSupported;taskSupported;;8;1556952676000;1556952676000;1556952676000.0
taskSupported;taskCostSpent;;8;1556952676000;1556952676000;1556952676000.0
taskCostSpent;taskComplete;;8;1556952676000;1556952676000;1556952676000.0
taskComplete;taskComplete;;2;1556952067000;1556952067000;1556952067000.0
taskComplete;taskComplete;;16;1556952178000;1556952178000;1556952178000.0
taskComplete;taskComplete;;13;1556952144000;1556952144000;1556952144000.0
taskComplete;taskDelivered;;9;1556952176000;1556952176000;1556952176000.0
taskDelivered;taskOperation;;12;1556952135000;1556952135000;1556952135000.0
taskOperation;taskSupported;;12;1556952135000;1556952135000;1556952135000.0
taskSupported;taskSupported;;12;1556952735000;1556952735000;1556952735000.0
taskSupported;taskCostSpent;;12;1556952735000;1556952735000;1556952735000.0
taskCostSpent;taskNew;;12;1556952735000;1556952735000;1556952735000.0
taskNew;taskNew;;22;1556952218000;1556952218000;1556952218000.0
taskNew;taskDelivered;;23;1556952220000;1556952220000;1556952220000.0
taskDelivered;taskDelivered;;23;1556952220000;1556952220000;1556952220000.0
taskDelivered;taskComplete;;22;1556952218000;1556952218000;1556952218000.0
taskComplete;taskComplete;;11;1556952217000;1556952217000;1556952217000.0
